id,language,question,evidence,answer,output_hash,human_label,annotator,annotated_at,rationale
G100,ar,"اريد حجز SLOT-002 للاستلام.
موافق
احجز SLOT-002 للاستلام مرة اخري.","{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""book_store_appointment"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}, {""name"": ""book_store_appointment"", ""code"": ""created"", ""risk"": ""side_effect""}, {""name"": ""book_store_appointment"", ""code"": ""already_created"", ""risk"": ""side_effect""}], ""actions"": [{""id"": ""REQ-70C261CD"", ""kind"": ""appointment"", ""order_id"": null, ""slot_id"": ""SLOT-002"", ""status"": ""requested""}]}",الموعد مسجل سابقًا: REQ-70C261CD.,d7e2855f57cec4ce1946b140a93d1dede412352bab16503a3ed42b93533a39c9,,,,
G097,ar,احجز موعد متجر SLOT-001 لمراجعة سماعتي.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""book_store_appointment"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}], ""actions"": []}","راجع الإجراء: حجز موعد SLOT-001 في 2026-09-16T11:00:00+03:00. السبب: احجز موعد متجر SLOT-001 لمراجعة سماعتي.
اكتب «موافق» لتأكيد هذا الإجراء في الرسالة التالية.",9af3dfdf9063b9876a34e5643cb10cb336494e46a2d504c16e2b6af0a396d46a,,,,
G075,ar,"استبدال ORD-1001 ب SKU-H200 لان اللون لا يناسبني.
موافق
اطلب مجددا استبدال ORD-1001 ب SKU-H200 لان اللون لا يناسبني.","{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}, {""name"": ""create_return_or_exchange"", ""code"": ""created"", ""risk"": ""side_effect""}, {""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""already_created"", ""risk"": ""side_effect""}], ""actions"": [{""id"": ""REQ-D4BA0EA6"", ""kind"": ""exchange"", ""order_id"": ""ORD-1001"", ""slot_id"": null, ""status"": ""requested""}]}",يوجد طلب معالجة مسجل: REQ-D4BA0EA6.,1cc49409976cc6e9eb9aa35498fab6bf359b7b8d576de68f9c7b344c66258aaa,,,,
G073,ar,اريد استبدال ORD-1001 ب SKU-H200 لانني افضل هذا الطراز.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}], ""actions"": []}","راجع الإجراء: استبدال الطلب ORD-1001 بالمنتج SKU-H200. السبب: اريد استبدال ORD-1001 ب SKU-H200 لانني افضل هذا الطراز.
اكتب «موافق» لتأكيد هذا الإجراء في الرسالة التالية.",ee1874068c0b9dee3c3623cd5b7e4a3ccefbb2b9e08a7270c07a747294230797,,,,
G001,ar,متي يفتح المتجر يوم السبت؟,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [], ""catalog"": [{""sku"": ""SKU-H100"", ""name_ar"": ""سماعة صفاء"", ""name_en"": ""Safa headphones"", ""price"": 200, ""stock"": 8}, {""sku"": ""SKU-H200"", ""name_ar"": ""سماعة نغم"", ""name_en"": ""Nagham headphones"", ""price"": 200, ""stock"": 5}, {""sku"": ""SKU-H300"", ""name_ar"": ""سماعة مدى"", ""name_en"": ""Mada headphones"", ""price"": 300, ""stock"": 0}, {""sku"": ""SKU-K100"", ""name_ar"": ""لوحة مفاتيح"", ""name_en"": ""Keyboard"", ""price"": 150, ""stock"": 12}], ""actions"": []}",سياسة المتجر التجريبي: الإرجاع والاستبدال خلال 14 يومًا من التسليم للمنتج غير المفتوح. الاستبدال لمنتج بالسعر نفسه وحسب المخزون. المواعيد: السبت إلى الخميس 10:00–22:00، الجمعة 16:00–22:00 بتوقيت الرياض.,98f13d206e0eadd07c5bc77c74347a54c0c46308a58b374c7785fa72f3ecfc9a,,,,
G121,ar,اريد التحدث مع موظف دعم بشري.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""handoff_to_support"", ""code"": ""handoff"", ""risk"": ""terminal""}], ""actions"": []}",انتهى المسار الآلي. يمكن لفريق الدعم مراجعة طلبك؛ لم تُرسل رسالة خارج هذه النسخة المحلية.,d75eed863cbc11d762305879f5972d3e7b2c63711b55e6f6ccec0679468a9976,,,,
G025,ar,وين طلبي ORD-1001؟,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}], ""authorized_orders"": [{""id"": ""ORD-1001"", ""sku"": ""SKU-H100"", ""status"": ""delivered"", ""delivered_at"": ""2026-09-12"", ""condition"": ""unopened""}], ""actions"": []}",الطلب ORD-1001: تم التسليم.,80b49f2fac9a008b7b404de847d26319786b295c7ca550ce118b75dbcaad18a5,,,,
G051,ar,"اريد ارجاع ORD-1001 لان المقاس غير مناسب.
موافق
اعيد طلب ارجاع ORD-1001 لان المقاس غير مناسب.","{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}, {""name"": ""create_return_or_exchange"", ""code"": ""created"", ""risk"": ""side_effect""}, {""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""already_created"", ""risk"": ""side_effect""}], ""actions"": [{""id"": ""REQ-C4F3B17B"", ""kind"": ""return"", ""order_id"": ""ORD-1001"", ""slot_id"": null, ""status"": ""requested""}]}",يوجد طلب معالجة مسجل: REQ-C4F3B17B.,80827e7a3341e876aca5db392f19eb4031bea45d481831e1acbf027734e4be0d,,,,
G049,ar,اريد ارجاع ORD-1001 لان اللون لا يناسبني.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}], ""actions"": []}","راجع الإجراء: إرجاع الطلب ORD-1001. السبب: اريد ارجاع ORD-1001 لان اللون لا يناسبني.
اكتب «موافق» لتأكيد هذا الإجراء في الرسالة التالية.",16cd6e2107896cf0305077b15d76ea376b3d5f05fe36e7e87073be5155ff3f1f,,,,
G109,en,Book store appointment SLOT-001 for a product review.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""book_store_appointment"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}], ""actions"": []}","Review this action: Book appointment SLOT-001 at 2026-09-16T11:00:00+03:00. Reason: Book store appointment SLOT-001 for a product review.
Reply 'confirm' in your next message to authorize this exact action.",1787bb4d51c55b9cf778a427b450b4d7ecfa8b52528a99d5b368b487e7cf511f,,,,
